Optimizer,Learning Rate,Depth,Test Accuracy
rmsprop,0.001,4,0.6447811722755432
adam,0.001,3,0.619528591632843
adam,0.001,5,0.5909090638160706
rmsprop,0.001,5,0.563973069190979
adam,0.001,4,0.5622895359992981
rmsprop,0.0001,3,0.47979798913002014
rmsprop,0.001,3,0.47138047218322754
adam,0.0001,3,0.44107744097709656
rmsprop,0.01,3,0.4208754301071167
rmsprop,0.01,4,0.41750842332839966
rmsprop,0.01,5,0.39225590229034424
adam,0.01,4,0.37710437178611755
rmsprop,0.0001,4,0.36026936769485474
sgd,0.01,4,0.3585858643054962
adam,0.0001,4,0.3585858643054962
rmsprop,0.0001,5,0.35185185074806213
adam,0.0001,5,0.33670035004615784
sgd,0.001,3,0.3097642958164215
sgd,0.01,5,0.2929292917251587
sgd,0.001,4,0.2542087435722351
sgd,0.001,5,0.22558923065662384
sgd,0.01,3,0.22390572726726532
adam,0.01,5,0.21717171370983124
adam,0.01,3,0.15993265807628632
sgd,0.0001,3,0.14646464586257935
sgd,0.0001,5,0.1346801370382309
sgd,0.0001,4,0.12962962687015533
